geography_code,Borough,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person,sum_2021
E01002541,Hillingdon,11,6,14,2,2,6,3,7,23,30,104
E01002622,Hounslow,13,3,8,0,0,5,2,18,10,45,104
E01002639,Hounslow,10,10,10,1,2,11,0,10,11,39,104
E01002657,Hounslow,8,7,5,3,0,4,2,13,21,41,104
E01002690,Hounslow,3,12,3,0,,9,0,9,26,42,104
E01002866,Kensington and Chelsea,7,14,7,1,,8,3,23,16,25,104
E01002935,Kingston upon Thames,5,9,6,3,0,7,1,27,9,37,104
E01003165,Lambeth,5,6,5,2,1,8,1,18,24,34,104
E01003188,Lambeth,7,3,16,1,,11,4,18,5,39,104
E01003197,Lewisham,8,4,3,2,2,6,1,11,14,53,104
E01003301,Lewisham,9,8,10,0,1,7,5,23,13,28,104
E01003412,Merton,6,9,4,2,,7,3,8,12,53,104
E01003637,Newham,9,6,5,0,,8,7,8,11,50,104
E01003843,Richmond upon Thames,6,7,2,2,1,7,3,10,21,45,104
E01004057,Southwark,7,18,8,0,,3,0,16,17,35,104
E01004589,Wandsworth,7,17,0,1,,7,2,27,20,23,104
E01004604,Wandsworth,4,19,1,,,8,3,13,41,15,104
E01004647,Westminster,7,8,3,1,1,18,5,18,13,30,104
E01033320,Lewisham,8,12,7,2,1,6,2,12,17,37,104
E01000029,Barking and Dagenham,10,9,9,1,3,7,2,8,23,31,103
E01000240,Barnet,7,15,7,1,1,4,3,9,17,39,103
E01000380,Bexley,11,4,2,3,,9,,10,21,43,103
E01000592,Brent,8,13,6,2,0,5,5,9,16,39,103
E01000617,Brent,8,6,10,2,0,7,5,19,8,38,103
E01000844,Camden,8,11,0,1,,5,1,32,17,28,103
E01000926,Camden,9,9,7,1,0,8,2,18,8,41,103
E01001179,Croydon,7,6,11,2,1,3,3,6,25,39,103
E01001310,Ealing,13,8,7,1,,1,1,19,16,37,103
E01001370,Ealing,4,7,7,0,0,9,2,7,21,46,103
E01001613,Greenwich,10,5,10,1,1,7,6,8,20,35,103
E01002139,Harrow,11,5,9,4,1,8,1,6,19,39,103
E01002306,Havering,8,6,6,2,,12,,6,13,50,103
E01002475,Hillingdon,18,7,5,2,,14,0,9,14,34,103
E01002537,Hillingdon,2,7,2,3,2,2,0,29,26,30,103
